Cycle,MSE,Avg,Min,Max,Discrepancy
654000,5512.569900,50.51,0.00,229.00,13.00
656000,5496.419600,50.52,0.00,228.00,12.00
658000,5489.229775,50.52,0.00,228.00,13.00
660000,5470.849775,50.52,0.00,227.00,11.00
662000,5463.698775,50.54,0.00,227.00,12.00
664000,5447.899775,50.52,0.00,227.00,12.00
666000,5442.355775,50.57,0.00,227.00,12.00
668000,5425.209900,50.51,0.00,226.00,12.00
670000,5419.987500,50.55,0.00,226.00,12.00
672000,5402.269900,50.49,0.00,225.00,12.00
674000,5399.368775,50.54,0.00,225.00,12.00
676000,5379.849900,50.49,0.00,225.00,12.00
678000,5375.030000,50.50,0.00,225.00,12.00
680000,5361.470000,50.50,0.00,224.00,12.00
682000,5352.398400,50.54,0.00,224.00,12.00
684000,5338.319900,50.49,0.00,223.00,12.00
686000,5329.849600,50.52,0.00,223.00,11.00
688000,5317.770000,50.50,0.00,223.00,12.00
690000,5305.389975,50.51,0.00,223.00,10.00
692000,5294.109975,50.51,0.00,222.00,12.00
694000,5284.600000,50.50,0.00,222.00,11.00
696000,5272.769975,50.51,0.00,222.00,10.00
698000,5263.309900,50.51,0.00,221.00,10.00
700000,5251.679975,50.50,0.00,221.00,10.00
702000,5244.319975,50.50,0.00,221.00,10.00
704000,5230.659975,50.51,0.00,221.00,10.00
706000,5221.719900,50.49,0.00,220.00,9.00
708000,5210.719975,50.51,0.00,220.00,10.00
710000,5205.229975,50.50,0.00,220.00,10.00
712000,5191.679600,50.48,0.00,219.00,10.00
714000,5180.759900,50.49,0.00,219.00,10.00
716000,5175.959600,50.48,0.00,219.00,10.00
718000,5161.379775,50.49,0.00,219.00,9.00
720000,5152.477975,50.46,0.00,218.00,10.00
722000,5146.229900,50.49,0.00,218.00,9.00
724000,5135.379775,50.49,0.00,218.00,10.00
726000,5125.319900,50.51,0.00,217.00,10.00
728000,5114.540000,50.50,0.00,217.00,10.00
730000,5100.700000,50.50,0.00,217.00,10.00
732000,5095.809975,50.51,0.00,217.00,10.00
734000,5080.949900,50.51,0.00,216.00,9.00
736000,5072.328775,50.47,0.00,216.00,9.00
738000,5064.030000,50.50,0.00,216.00,9.00
740000,5052.248775,50.47,0.00,216.00,9.00
742000,5049.989775,50.49,0.00,215.00,9.00
744000,5033.288775,50.47,0.00,215.00,9.00
746000,5031.689975,50.51,0.00,215.00,9.00
748000,5015.629375,50.48,0.00,214.00,9.00
750000,5011.470000,50.50,0.00,214.00,9.00
752000,4996.809375,50.48,0.00,214.00,9.00
754000,4990.569600,50.48,0.00,214.00,9.00
756000,4978.627975,50.46,0.00,213.00,9.00
758000,4970.839375,50.48,0.00,213.00,9.00
760000,4962.286975,50.45,0.00,213.00,9.00
762000,4951.269100,50.47,0.00,213.00,9.00
764000,4946.259600,50.48,0.00,212.00,9.00
766000,4934.279775,50.49,0.00,212.00,9.00
768000,4924.989600,50.48,0.00,212.00,9.00
770000,4913.979975,50.51,0.00,211.00,9.00
772000,4907.029100,50.47,0.00,211.00,9.00
774000,4896.379900,50.49,0.00,211.00,9.00
776000,4885.387500,50.45,0.00,211.00,9.00
778000,4882.339975,50.50,0.00,211.00,9.00
780000,4866.446975,50.45,0.00,210.00,9.00
782000,4865.399975,50.50,0.00,210.00,9.00
784000,4848.258775,50.47,0.00,210.00,9.00
786000,4850.200000,50.50,0.00,210.00,9.00
788000,4834.719375,50.48,0.00,209.00,9.00
790000,4831.579100,50.47,0.00,209.00,9.00
792000,4813.035775,50.44,0.00,209.00,9.00
794000,4811.179100,50.47,0.00,209.00,9.00
796000,4799.643600,50.42,0.00,208.00,9.00
798000,4792.988400,50.46,0.00,208.00,9.00
